symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SHIB/USD,2023-03-14 05:00:00+00:00,1.15e-05,1.156e-05,1.095e-05,1.135e-05,19299266203.0,724.0,1.12947e-05
SHIB/USD,2023-03-15 05:00:00+00:00,1.133e-05,1.148e-05,1.016e-05,1.028e-05,40013557760.13339,1475.0,1.05574e-05
SHIB/USD,2023-03-16 05:00:00+00:00,1.0275e-05,1.086e-05,1.023e-05,1.07e-05,20082728719.57143,758.0,1.05547e-05
SHIB/USD,2023-03-17 05:00:00+00:00,1.07e-05,1.151e-05,1.051e-05,1.12e-05,32113309994.63311,1093.0,1.09708e-05
SHIB/USD,2023-03-18 05:00:00+00:00,1.1195e-05,0.00050514,1.063e-05,1.094e-05,25268680421.898495,802.0,1.10194e-05
SHIB/USD,2023-03-19 05:00:00+00:00,1.094e-05,0.004005715,1.04e-05,1.0705e-05,35878391870.0,901.0,1.08769e-05
SHIB/USD,2023-03-20 05:00:00+00:00,1.0705e-05,0.00400539,1.034e-05,1.062e-05,19447685172.32552,768.0,1.06046e-05
SHIB/USD,2023-03-21 05:00:00+00:00,1.062e-05,1.113e-05,1.034e-05,1.093e-05,24819607700.90027,936.0,1.08757e-05
SHIB/USD,2023-03-22 05:00:00+00:00,1.093e-05,0.005005435,1.021e-05,1.0615e-05,24348739449.090908,990.0,1.07191e-05
SHIB/USD,2023-03-23 05:00:00+00:00,1.0625e-05,0.00500567,1.06e-05,1.077e-05,14182320623.664864,750.0,1.08066e-05
SHIB/USD,2023-03-24 05:00:00+00:00,1.0775e-05,0.005005595,1.004e-05,1.064e-05,14108697647.005415,1114.0,1.06092e-05
SHIB/USD,2023-03-25 05:00:00+00:00,1.064e-05,0.005005315,1.038e-05,1.055e-05,9554359253.441673,496.0,1.0583e-05
SHIB/USD,2023-03-26 05:00:00+00:00,1.055e-05,0.00385527,1.0495e-05,1.059e-05,7376434540.738585,402.0,1.05942e-05
SHIB/USD,2023-03-27 05:00:00+00:00,1.0595e-05,0.003855515,1.0215e-05,1.0375e-05,20754928591.156887,956.0,1.04559e-05
SHIB/USD,2023-03-28 05:00:00+00:00,1.0375e-05,0.00385519,1.027e-05,1.0605e-05,14346166967.975138,698.0,1.04093e-05
SHIB/USD,2023-03-29 05:00:00+00:00,1.0605e-05,0.003855695,1.052e-05,1.07e-05,21643003443.632595,899.0,1.06799e-05
SHIB/USD,2023-03-30 05:00:00+00:00,1.0695e-05,0.00385533,1.0405e-05,1.0665e-05,16955882342.321947,663.0,1.05551e-05
SHIB/USD,2023-03-31 05:00:00+00:00,1.0665e-05,0.003855405,1.017e-05,1.093e-05,19628799026.44406,825.0,1.07367e-05
SHIB/USD,2023-04-01 05:00:00+00:00,1.093e-05,0.003855645,1.0685e-05,1.135e-05,44339475034.06416,2418.0,1.12402e-05
SHIB/USD,2023-04-02 05:00:00+00:00,1.135e-05,0.00385559,1.042e-05,1.0695e-05,29291201735.028343,1071.0,1.08768e-05
SHIB/USD,2023-04-03 05:00:00+00:00,1.0695e-05,0.00385563,1.061e-05,1.119e-05,95865625365.99652,3981.0,1.11791e-05
SHIB/USD,2023-04-04 05:00:00+00:00,1.119e-05,0.00385569,1.084e-05,1.137e-05,56901039935.294235,7767.0,1.13425e-05
SHIB/USD,2023-04-05 05:00:00+00:00,1.137e-05,0.003855675,1.065e-05,1.1055e-05,29416793784.304604,4154.0,1.12305e-05
SHIB/USD,2023-04-06 05:00:00+00:00,1.1055e-05,0.00385578,1.085e-05,1.0975e-05,18431493336.73267,1869.0,1.10107e-05
SHIB/USD,2023-04-07 05:00:00+00:00,1.0975e-05,0.00385545,1.083e-05,1.1e-05,19018749041.11297,755.0,1.0937e-05
SHIB/USD,2023-04-08 05:00:00+00:00,1.1e-05,0.003855505,1.078e-05,1.0895e-05,18614745789.98957,925.0,1.09335e-05
SHIB/USD,2023-04-09 05:00:00+00:00,1.0895e-05,0.003855705,1.08e-05,1.0915e-05,10108556093.915445,488.0,1.09271e-05
SHIB/USD,2023-04-10 05:00:00+00:00,1.091e-05,0.003855725,1.047e-05,1.115e-05,20777815471.81627,892.0,1.10314e-05
SHIB/USD,2023-04-11 05:00:00+00:00,1.1155e-05,0.003855585,1.063e-05,1.0795e-05,35616840217.12803,1205.0,1.10271e-05
